layer_id,type,input_shape,output_shape,output_elements,flops,reg_features
25,BatchNorm2d,"[1, 64, 56, 56]","[1, 64, 56, 56]",200704,0,[np.int64(200704)]
26,ReLU,"[1, 64, 56, 56]","[1, 64, 56, 56]",200704,0,[np.int64(200704)]
27,Conv2d,"[1, 64, 56, 56]","[1, 64, 56, 56]",200704,231211008,"[64, 576.0]"
28,BatchNorm2d,"[1, 64, 56, 56]","[1, 64, 56, 56]",200704,0,[np.int64(200704)]
29,ReLU,"[1, 64, 56, 56]","[1, 64, 56, 56]",200704,0,[np.int64(200704)]
30,Conv2d,"[1, 64, 56, 56]","[1, 256, 56, 56]",802816,102760448,"[64, 256.0]"
31,BatchNorm2d,"[1, 256, 56, 56]","[1, 256, 56, 56]",802816,0,[np.int64(802816)]
32,ReLU,"[1, 256, 56, 56]","[1, 256, 56, 56]",802816,0,[np.int64(802816)]
33,Conv2d,"[1, 256, 56, 56]","[1, 128, 56, 56]",401408,205520896,"[256, 128.0]"
34,BatchNorm2d,"[1, 128, 56, 56]","[1, 128, 56, 56]",401408,0,[np.int64(401408)]
35,ReLU,"[1, 128, 56, 56]","[1, 128, 56, 56]",401408,0,[np.int64(401408)]
36,Conv2d,"[1, 128, 56, 56]","[1, 128, 28, 28]",100352,231211008,"[128, 288.0]"
37,BatchNorm2d,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,0,[np.int64(100352)]
38,ReLU,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,0,[np.int64(100352)]
39,Conv2d,"[1, 128, 28, 28]","[1, 512, 28, 28]",401408,102760448,"[128, 512.0]"
40,BatchNorm2d,"[1, 512, 28, 28]","[1, 512, 28, 28]",401408,0,[np.int64(401408)]
41,Conv2d,"[1, 256, 56, 56]","[1, 512, 28, 28]",401408,205520896,"[256, 128.0]"
42,BatchNorm2d,"[1, 512, 28, 28]","[1, 512, 28, 28]",401408,0,[np.int64(401408)]
43,ReLU,"[1, 512, 28, 28]","[1, 512, 28, 28]",401408,0,[np.int64(401408)]
44,Conv2d,"[1, 512, 28, 28]","[1, 128, 28, 28]",100352,102760448,"[512, 128.0]"
45,BatchNorm2d,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,0,[np.int64(100352)]
46,ReLU,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,0,[np.int64(100352)]
47,Conv2d,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,231211008,"[128, 1152.0]"
48,BatchNorm2d,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,0,[np.int64(100352)]
49,ReLU,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,0,[np.int64(100352)]
50,Conv2d,"[1, 128, 28, 28]","[1, 512, 28, 28]",401408,102760448,"[128, 512.0]"
51,BatchNorm2d,"[1, 512, 28, 28]","[1, 512, 28, 28]",401408,0,[np.int64(401408)]
52,ReLU,"[1, 512, 28, 28]","[1, 512, 28, 28]",401408,0,[np.int64(401408)]
53,Conv2d,"[1, 512, 28, 28]","[1, 128, 28, 28]",100352,102760448,"[512, 128.0]"
54,BatchNorm2d,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,0,[np.int64(100352)]
55,ReLU,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,0,[np.int64(100352)]
56,Conv2d,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,231211008,"[128, 1152.0]"
57,BatchNorm2d,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,0,[np.int64(100352)]
58,ReLU,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,0,[np.int64(100352)]
59,Conv2d,"[1, 128, 28, 28]","[1, 512, 28, 28]",401408,102760448,"[128, 512.0]"
60,BatchNorm2d,"[1, 512, 28, 28]","[1, 512, 28, 28]",401408,0,[np.int64(401408)]
61,ReLU,"[1, 512, 28, 28]","[1, 512, 28, 28]",401408,0,[np.int64(401408)]
62,Conv2d,"[1, 512, 28, 28]","[1, 128, 28, 28]",100352,102760448,"[512, 128.0]"
63,BatchNorm2d,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,0,[np.int64(100352)]
64,ReLU,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,0,[np.int64(100352)]
65,Conv2d,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,231211008,"[128, 1152.0]"
66,BatchNorm2d,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,0,[np.int64(100352)]
67,ReLU,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,0,[np.int64(100352)]
68,Conv2d,"[1, 128, 28, 28]","[1, 512, 28, 28]",401408,102760448,"[128, 512.0]"
69,BatchNorm2d,"[1, 512, 28, 28]","[1, 512, 28, 28]",401408,0,[np.int64(401408)]
70,ReLU,"[1, 512, 28, 28]","[1, 512, 28, 28]",401408,0,[np.int64(401408)]
